line color (in figure),green,,blue,,red,,magenta,
letter,B,,C,,A,,D,
roi color, light green Mean Value, light green Standard Deviation, light cyan Mean Value, light cyan Standard Deviation, light purple Mean Value, light purple Standard Deviation, pink Mean Value, pink Standard Deviation
1012.5,0.321862,0.0119783,0.270468,0.018626,0.301061,0.0203272,0.183361,0.0207665
446,0.0616821,0.00202993,0.0641843,0.00555723,0.0806276,0.00799206,0.0585498,0.00433136
494,0.07167,0.00484465,0.0768585,0.0101521,0.107803,0.00923471,0.0668601,0.00734945
527,0.0868428,0.00434032,0.0948738,0.00665415,0.134085,0.00801186,0.0820022,0.0056048
552.5,0.113701,0.0059805,0.121567,0.0103079,0.17181,0.0119756,0.101843,0.00895269
639,0.240262,0.0152783,0.231903,0.0159413,0.289925,0.0184298,0.187221,0.0159669
676,0.278517,0.0152945,0.257753,0.0116515,0.303316,0.0228069,0.204434,0.0134348
751,0.313182,0.0109553,0.2764,0.013863,0.318965,0.0229607,0.203862,0.0196409
805,0.328869,0.00654256,0.279513,0.0114105,0.32154,0.0231738,0.202834,0.0148682
867,0.302219,0.0103838,0.259149,0.0192756,0.301709,0.0173184,0.179481,0.0186959
908,0.305849,0.00670286,0.258,0.0131671,0.298256,0.0222113,0.181448,0.0135457
937,0.315961,0.00624791,0.264138,0.0145153,0.303093,0.0223903,0.180352,0.0147472
