line color (in figure),cyan,,purple,,green,,red,,magenta,,blue,
letter,A,,B,,C,,D,,E,,F,
roi color, light green Mean Value, light green Standard Deviation, light green Mean Value, light green Standard Deviation, light cyan Mean Value, light cyan Standard Deviation, light cyan Mean Value, light cyan Standard Deviation, light purple Mean Value, light purple Standard Deviation, yellow Mean Value, yellow Standard Deviation
1012.5,0.321862,0.0119783,0.312517,0.011391,0.304065,0.0191465,0.403269,0.0165624,0.29648,0.0183195,0.290225,0.0208234
446,0.0616821,0.00202993,0.0408691,0.00227425,0.0499866,0.00667686,0.076103,0.00382714,0.0765273,0.00499897,0.0407328,0.00282166
494,0.07167,0.00484465,0.0496058,0.00366654,0.0631637,0.00983644,0.108441,0.00872756,0.0941803,0.0092529,0.0546248,0.00596356
527,0.0868428,0.00434032,0.062665,0.00380044,0.0727796,0.00757654,0.13983,0.00668779,0.120392,0.00852901,0.0699524,0.00539406
552.5,0.113701,0.0059805,0.0850488,0.00453209,0.0978262,0.0106878,0.186045,0.0104478,0.148144,0.0111489,0.099194,0.00844097
639,0.240262,0.0152783,0.199377,0.00791347,0.204791,0.0203762,0.328151,0.0168103,0.239044,0.0169653,0.215243,0.015922
676,0.278517,0.0152945,0.241561,0.00638434,0.239719,0.0151789,0.34601,0.00935446,0.257096,0.00819669,0.254243,0.010554
751,0.313182,0.0109553,0.294235,0.00627545,0.283842,0.0129661,0.393324,0.0102935,0.292353,0.00810677,0.294751,0.0115232
805,0.328869,0.00654256,0.308445,0.0117242,0.287915,0.012391,0.404298,0.0184432,0.312385,0.016354,0.296312,0.0170616
867,0.302219,0.0103838,0.289475,0.00918894,0.275426,0.0127035,0.392018,0.0109411,0.288671,0.0109693,0.277672,0.0144362
908,0.305849,0.00670286,0.29538,0.0121755,0.285669,0.0178662,0.393985,0.0185727,0.285011,0.0161887,0.275813,0.0180787
937,0.315961,0.00624791,0.30104,0.0117486,0.294408,0.0153692,0.393335,0.018163,0.285936,0.0162705,0.280096,0.0181609
